Fov;Colorfactor 0;Colorfactor 0.5;Colorfactor 1;;;;;;;;;;
1;100;100;100;;;;;;;;;;
2;100;84,23296296;79,77518519;;;;;;;;;;
3;100;84,23296296;79,77518519;;;;;;;;;;
4;100;84,23296296;79,77518519;;;;;;;;;;
5;100;84,23296296;79,77518519;;;;;;;;;;
6;100;84,23074074;79,76703704;;;;;;;;;;
7;100;84,19777778;79,74777778;;;;;;;;;;
8;100;84,07518519;79,64222222;;;;;;;;;;
9;100;83,60259259;79,18666667;;;;;;;;;;
10;100;82,63407407;78,11888889;;;;;;;;;;
11;100;81,34259259;76,70259259;;;;;;;;;;
12;100;80,16;75,27814815;;;;;;;;;;
13;100;79,17740741;74,0562963;;;;;;;;;;
14;100;78,40925926;73,0937037;;;;;;;;;;
15;100;77,77777778;72,30333333;;;;;;;;;;
16;99,99962963;77,26592593;71,69259259;;;;;;;;;;
17;99,99962963;76,88222222;71,17703704;;;;;;;;;;
18;99,99925926;76,56740741;70,66592593;;;;;;;;;;
19;99,99888889;76,31333333;70,20703704;;;;;;;;;;
20;99,99888889;76,06518519;69,82444444;;;;;;;;;;
21;99,99888889;75,89222222;69,52037037;;;;;;;;;;
22;99,99888889;75,74111111;69,30296296;;;;;;;;;;
23;99,99851852;75,61555556;69,13851852;;;;;;;;;;
24;99,99851852;75,51518519;69,01407407;;;;;;;;;;
25;99,99814815;75,44296296;68,92111111;;;;;;;;;;
26;99,99814815;75,38148148;68,82888889;;;;;;;;;;
27;99,99814815;75,33259259;68,77740741;;;;;;;;;;
28;99,99814815;75,31555556;68,73148148;;;;;;;;;;
29;99,99814815;75,31148148;68,69777778;;;;;;;;;;
30;99,99814815;75,31555556;68,68592593;;;;;;;;;;
31;99,99814815;75,32888889;68,68407407;;;;;;;;;;
32;99,99814815;75,36592593;68,6937037;;;;;;;;;;
33;99,99851852;75,3962963;68,71592593;;;;;;;;;;
34;99,99888889;75,43962963;68,74407407;;;;;;;;;;
35;99,99888889;75,49296296;68,78111111;;;;;;;;;;
36;99,99925926;75,54962963;68,82666667;;;;;;;;;;
37;99,99925926;75,61333333;68,86888889;;;;;;;;;;
38;99,99925926;75,68185185;68,92481481;;;;;;;;;;
39;99,99925926;75,74962963;68,98666667;;;;;;;;;;
40;99,99925926;75,82444444;69,06333333;;;;;;;;;;
41;99,99925926;75,88962963;69,14925926;;;;;;;;;;
42;99,99925926;75,96444444;69,23111111;;;;gesetzte Grš§e: 600x450;;;;;;gesetzte Grš§e: 600x450
43;99,99962963;76,03037037;69,31592593;;;;;;;;;;
44;99,99962963;76,10444444;69,41222222;;;;;;;;;;
45;99,99962963;76,17666667;69,50703704;;;;;;;;;;
46;99,99962963;76,23925926;69,6;;;;;;;;;;
47;100;76,31296296;69,70481481;;;;;;;;;;
48;100;76,37925926;69,81777778;;;;;;;;;;
49;100;76,44703704;69,94185185;;;;;;;;;;
50;100;76,51444444;70,05666667;;;;;;;;;;
51;100;76,56925926;70,17222222;;;;;;;;;;
52;100;76,64074074;70,2762963;;;;;;;;;;
53;100;76,70592593;70,39703704;;;;;;;;;;
54;100;76,76666667;70,5062963;;;;;;;;;;
55;100;76,83296296;70,60222222;;;;;;;;;;
56;100;76,89333333;70,70111111;;;;;;;;;;
57;100;76,95962963;70,79888889;;;;;;;;;;
58;100;77,03;70,90296296;;;;;;;;;;
59;100;77,09259259;71,00148148;;;;;;;;;;
60;100;77,16333333;71,10185185;;;;;;;;;;
61;100;77,22777778;71,19333333;;;;;;;;;;
62;100;77,30259259;71,28481481;;;;;;;;;;
63;100;77,37888889;71,36074074;;;;;;;;;;
64;100;77,45666667;71,45;;;;;;;;;;
65;100;77,53555556;71,53185185;;;;;;;;;;
66;100;77,61037037;71,62444444;;;;;;;;;;
67;100;77,69703704;71,71074074;;;;;;;;;;
68;100;77,7862963;71,79666667;;;;;;;;;;
69;100;77,86888889;71,89222222;;;;;;;;;;
70;100;77,94777778;71,98296296;;;;;;;;;;
71;100;78,03703704;72,07148148;;;;;;;;;;
72;100;78,12777778;72,15259259;;;;;;;;;;
73;100;78,22111111;72,24;;;;;;;;;;
74;100;78,30481481;72,3262963;;;;;;;;;;
75;100;78,3937037;72,42407407;;;;;;;;;;
76;100;78,48037037;72,51518519;;;;;;;;;;
77;100;78,57740741;72,60777778;;;;;;;;;;
78;100;78,66444444;72,69592593;;;;;;;;;;
79;100;78,74851852;72,79;;;;;;;;;;
80;100;78,81851852;72,88444444;;;;;;;;;;
81;100;78,88777778;72,98444444;;;;;;;;;;
82;100;78,9562963;73,07703704;;;;;;;;;;
83;100;79,03222222;73,1762963;;;;;;;;;;
84;100;79,10703704;73,27666667;;;;;;;;;;
85;100;79,17888889;73,37925926;;;;;;;;;;
86;100;79,25777778;73,48148148;;;;;;;;;;
87;100;79,33703704;73,57851852;;;;;;;;;;
88;100;79,41851852;73,68703704;;;;;;;;;;
89;100;79,49259259;73,79333333;;;;;;;;;;
