Fov;Colorfactor 0;Colorfactor 0.5;Colorfactor 1;;;;;;;;
1;100;100;100;;;;;;;;
2;74,2637037;1,787037037;1,066666667;;;;;;;;
3;74,2637037;1,787037037;1,066666667;;;;;;;;
4;74,24888889;1,787037037;1,066666667;;;;;;;;
5;74,1837037;1,787037037;1,066666667;;;;;;;;
6;74,0562963;1,786666667;1,066296296;;;;;;;;
7;73,7562963;1,782962963;1,060740741;;;;;;;;
8;72,69555556;1,764444444;1,046666667;;;;;;;;
9;69,85185185;1,705555556;1,007407407;;;;;;;;
10;63,80333333;1,584444444;0,93037037;;;;;;;;
11;55,03259259;1,412962963;0,805185185;;;;;;;;
12;46,50185185;1,242222222;0,713703704;;;;;;;;
13;39,02777778;1,118148148;0,642222222;;;;;;;;
14;32,52592593;1,029259259;0,603703704;;;;;;;;
15;27,64185185;0,968888889;0,566296296;;;;;;;;
16;24,48259259;0,926296296;0,538518519;;;;;;;;
17;22,10555556;0,901111111;0,518148148;;;;;;;;
18;20,28222222;0,88037037;0,507037037;;;;;;;;
19;19,0337037;0,867777778;0,495185185;;;;;;;;
20;18,10407407;0,854074074;0,484074074;;;;;;;;
21;17,40666667;0,847407407;0,477037037;;;;;;;;
22;16,88518519;0,838518519;0,46962963;;;;;;;;
23;16,49962963;0,828148148;0,464444444;;;;;;;;
24;16,21259259;0,821111111;0,459259259;;;;;;;;
25;15,98333333;0,815185185;0,455185185;;;;;;;;
26;15,78777778;0,808518519;0,454074074;;;;;;;;
27;15,62;0,804444444;0,452962963;;;;;;;;
28;15,49888889;0,801851852;0,452222222;;;;;;;;
29;15,41037037;0,801851852;0,452222222;;;;;;;;
30;15,34666667;0,801851852;0,452592593;;;;;;;;
31;15,30222222;0,801851852;0,453703704;;;;;;;;
32;15,27407407;0,802222222;0,455185185;;;;;;;;
33;15,26333333;0,804444444;0,455555556;;;;;;;;
34;15,27185185;0,805185185;0,456296296;;;;;;;;
35;15,28555556;0,805925926;0,458518519;;;;;;;;
36;15,31592593;0,805925926;0,460740741;;;;;;;;
37;15,36407407;0,806666667;0,463333333;;;;;;;;
38;15,41777778;0,808148148;0,466296296;;;gesetzte Gršsse: 600 x 450;;;;;gesetzte Gršsse: 600 x 450
39;15,47148148;0,80962963;0,467777778;;;;;;;;
40;15,53666667;0,814444444;0,469259259;;;;;;;;
41;15,6162963;0,817407407;0,471111111;;;;;;;;
42;15,69333333;0,821111111;0,475925926;;;;;;;;
43;15,77851852;0,822592593;0,477037037;;;;;;;;
44;15,88888889;0,824814815;0,478518519;;;;;;;;
45;15,99777778;0,827777778;0,478888889;;;;;;;;
46;16,1137037;0,829259259;0,482222222;;;;;;;;
47;16,25518519;0,831111111;0,486296296;;;;;;;;
48;16,39814815;0,835185185;0,488148148;;;;;;;;
49;16,54407407;0,836296296;0,48962963;;;;;;;;
50;16,67481481;0,84;0,492222222;;;;;;;;
51;16,83666667;0,845925926;0,494814815;;;;;;;;
52;17,00592593;0,85037037;0,497037037;;;;;;;;
53;17,18185185;0,854074074;0,501111111;;;;;;;;
54;17,3737037;0,859259259;0,504444444;;;;;;;;
55;17,57037037;0,864444444;0,506666667;;;;;;;;
56;17,76851852;0,870740741;0,509259259;;;;;;;;
57;17,98111111;0,876296296;0,511111111;;;;;;;;
58;18,20333333;0,87962963;0,514074074;;;;;;;;
59;18,44074074;0,885185185;0,516666667;;;;;;;;
60;18,67518519;0,891481481;0,52037037;;;;;;;;
61;18,9137037;0,897037037;0,522592593;;;;;;;;
62;19,15703704;0,901111111;0,525555556;;;;;;;;
63;19,39666667;0,905185185;0,527037037;;;;;;;;
64;19,66148148;0,91037037;0,53;;;;;;;;
65;19,92666667;0,915925926;0,532962963;;;;;;;;
66;20,19407407;0,926296296;0,538518519;;;;;;;;
67;20,45259259;0,934444444;0,541481481;;;;;;;;
68;20,7337037;0,94;0,544444444;;;;;;;;
69;21,01407407;0,947037037;0,551111111;;;;;;;;
70;21,32148148;0,953333333;0,557037037;;;;;;;;
71;21,6537037;0,957407407;0,55962963;;;;;;;;
72;21,97777778;0,961851852;0,561481481;;;;;;;;
73;22,31962963;0,966666667;0,565555556;;;;;;;;
74;22,69;0,973333333;0,571481481;;;;;;;;
75;23,03185185;0,977037037;0,575555556;;;;;;;;
76;23,39;0,984444444;0,58;;;;;;;;
77;23,77888889;0,988518519;0,586296296;;;;;;;;
78;24,14962963;0,995925926;0,591851852;;;;;;;;
79;24,52703704;1,002222222;0,595555556;;;;;;;;
80;24,92296296;1,011481481;0,60037037;;;;;;;;
81;25,32814815;1,020740741;0,604814815;;;;;;;;
82;25,7537037;1,028518519;0,608518519;;;;;;;;
83;26,18111111;1,036296296;0,613703704;;;;;;;;
84;26,61925926;1,041481481;0,617777778;;;;;;;;
85;27,06555556;1,046666667;0,622592593;;;;;;;;
86;27,52148148;1,054814815;0,627777778;;;;;;;;
87;27,97407407;1,062592593;0,631111111;;;;;;;;
88;28,46444444;1,06962963;0,635555556;;;;;;;;
89;28,96925926;1,073333333;0,640740741;;;;;;;;
